rank	slug	city	state	voice	art_kit	briefing
32	albuquerque_nm	Albuquerque	NM	Samantha	Desert Solar Grid	Radio briefing: Albuquerque, NM is stop 032 on the national route. Secure the Albuquerque Rescue Arch in the Desert Solar Grid, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
33	tucson_az	Tucson	AZ	Samantha	Desert Solar Grid	Radio briefing: Tucson, AZ is stop 033 on the national route. Secure the Tucson Data Beacon in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
34	fresno_ca	Fresno	CA	Samantha	Coastal Port	Radio briefing: Fresno, CA is stop 034 on the national route. Secure the Fresno Command Obelisk in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
35	sacramento_ca	Sacramento	CA	Samantha	Coastal Port	Radio briefing: Sacramento, CA is stop 035 on the national route. Secure the Sacramento Relay Bridge in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
36	atlanta_ga	Atlanta	GA	Daniel	Coastal Port	Radio briefing: Atlanta, GA is stop 036 on the national route. Secure the Atlanta Power Crown in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 4: compare four safety states before opening the survivor route.
37	mesa_az	Mesa	AZ	Samantha	Desert Solar Grid	Radio briefing: Mesa, AZ is stop 037 on the national route. Secure the Mesa Signal Spire in the Desert Solar Grid, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 1: visual packets run backward from tower to terminal.
38	kansas_city_mo	Kansas City	MO	Alex	River Lockworks	Radio briefing: Kansas City, MO is stop 038 on the national route. Secure the Kansas City Rescue Arch in the River Lockworks, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
39	raleigh_nc	Raleigh	NC	Daniel	Coastal Port	Radio briefing: Raleigh, NC is stop 039 on the national route. Secure the Raleigh Data Beacon in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
40	colorado_springs_co	Colorado Springs	CO	Samantha	Latin Metro	Radio briefing: Colorado Springs, CO is stop 040 on the national route. Secure the Colorado Springs Command Obelisk in the Latin Metro, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 4: three visible cells feed one returned total.
41	omaha_ne	Omaha	NE	Alex	River Lockworks	Radio briefing: Omaha, NE is stop 041 on the national route. Secure the Omaha Relay Bridge in the River Lockworks, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 1: compare four safety states before opening the survivor route.
42	miami_fl	Miami	FL	Daniel	Coastal Port	Radio briefing: Miami, FL is stop 042 on the national route. Secure the Miami Power Crown in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 2: visual packets run backward from tower to terminal.
43	virginia_beach_va	Virginia Beach	VA	Daniel	Coastal Port	Radio briefing: Virginia Beach, VA is stop 043 on the national route. Secure the Virginia Beach Signal Spire in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
44	long_beach_ca	Long Beach	CA	Samantha	Coastal Port	Radio briefing: Long Beach, CA is stop 044 on the national route. Secure the Long Beach Rescue Arch in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
45	oakland_ca	Oakland	CA	Samantha	Coastal Port	Radio briefing: Oakland, CA is stop 045 on the national route. Secure the Oakland Data Beacon in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
46	minneapolis_mn	Minneapolis	MN	Alex	Great Lakes Industrial	Radio briefing: Minneapolis, MN is stop 046 on the national route. Secure the Minneapolis Command Obelisk in the Great Lakes Industrial, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
47	bakersfield_ca	Bakersfield	CA	Samantha	Coastal Port	Radio briefing: Bakersfield, CA is stop 047 on the national route. Secure the Bakersfield Relay Bridge in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 3: visual packets run backward from tower to terminal.
48	tulsa_ok	Tulsa	OK	Daniel	Metro Core	Radio briefing: Tulsa, OK is stop 048 on the national route. Secure the Tulsa Power Crown in the Metro Core, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
49	tampa_fl	Tampa	FL	Daniel	Coastal Port	Radio briefing: Tampa, FL is stop 049 on the national route. Secure the Tampa Signal Spire in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
50	arlington_tx	Arlington	TX	Daniel	Desert Solar Grid	Radio briefing: Arlington, TX is stop 050 on the national route. Secure the Arlington Rescue Arch in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 2: three visible cells feed one returned total.
51	aurora_co	Aurora	CO	Samantha	Latin Metro	Radio briefing: Aurora, CO is stop 051 on the national route. Secure the Aurora Data Beacon in the Latin Metro, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 3: compare four safety states before opening the survivor route.
52	wichita_ks	Wichita	KS	Alex	Rail Yard	Radio briefing: Wichita, KS is stop 052 on the national route. Secure the Wichita Command Obelisk in the Rail Yard, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
53	cleveland_oh	Cleveland	OH	Alex	Great Lakes Industrial	Radio briefing: Cleveland, OH is stop 053 on the national route. Secure the Cleveland Relay Bridge in the Great Lakes Industrial, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
54	new_orleans_la	New Orleans	LA	Daniel	Coastal Port	Radio briefing: New Orleans, LA is stop 054 on the national route. Secure the New Orleans Power Crown in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
55	henderson_nv	Henderson	NV	Samantha	Desert Solar Grid	Radio briefing: Henderson, NV is stop 055 on the national route. Secure the Henderson Signal Spire in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
56	urban_honolulu_hi	Urban Honolulu	HI	Samantha	Coastal Port	Radio briefing: Urban Honolulu, HI is stop 056 on the national route. Secure the Urban Honolulu Rescue Arch in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 4: compare four safety states before opening the survivor route.
57	anaheim_ca	Anaheim	CA	Samantha	Coastal Port	Radio briefing: Anaheim, CA is stop 057 on the national route. Secure the Anaheim Data Beacon in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 1: visual packets run backward from tower to terminal.
58	orlando_fl	Orlando	FL	Daniel	Coastal Port	Radio briefing: Orlando, FL is stop 058 on the national route. Secure the Orlando Command Obelisk in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
59	lexington_fayette_ky	Lexington-Fayette	KY	Daniel	River Lockworks	Radio briefing: Lexington-Fayette, KY is stop 059 on the national route. Secure the Lexington-Fayette Relay Bridge in the River Lockworks, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
60	stockton_ca	Stockton	CA	Samantha	Coastal Port	Radio briefing: Stockton, CA is stop 060 on the national route. Secure the Stockton Power Crown in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 4: three visible cells feed one returned total.
61	riverside_ca	Riverside	CA	Samantha	Coastal Port	Radio briefing: Riverside, CA is stop 061 on the national route. Secure the Riverside Signal Spire in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 1: compare four safety states before opening the survivor route.
62	irvine_ca	Irvine	CA	Samantha	Coastal Port	Radio briefing: Irvine, CA is stop 062 on the national route. Secure the Irvine Rescue Arch in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 2: visual packets run backward from tower to terminal.
63	corpus_christi_tx	Corpus Christi	TX	Daniel	Desert Solar Grid	Radio briefing: Corpus Christi, TX is stop 063 on the national route. Secure the Corpus Christi Data Beacon in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
64	newark_nj	Newark	NJ	Victoria	Coastal Port	Radio briefing: Newark, NJ is stop 064 on the national route. Secure the Newark Command Obelisk in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
65	santa_ana_ca	Santa Ana	CA	Samantha	Coastal Port	Radio briefing: Santa Ana, CA is stop 065 on the national route. Secure the Santa Ana Relay Bridge in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
66	cincinnati_oh	Cincinnati	OH	Alex	Great Lakes Industrial	Radio briefing: Cincinnati, OH is stop 066 on the national route. Secure the Cincinnati Power Crown in the Great Lakes Industrial, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
67	pittsburgh_pa	Pittsburgh	PA	Victoria	Latin Metro	Radio briefing: Pittsburgh, PA is stop 067 on the national route. Secure the Pittsburgh Signal Spire in the Latin Metro, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 3: visual packets run backward from tower to terminal.
68	st_paul_mn	St. Paul	MN	Alex	Great Lakes Industrial	Radio briefing: St. Paul, MN is stop 068 on the national route. Secure the St. Paul Rescue Arch in the Great Lakes Industrial, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
69	greensboro_nc	Greensboro	NC	Daniel	Coastal Port	Radio briefing: Greensboro, NC is stop 069 on the national route. Secure the Greensboro Data Beacon in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
70	jersey_city_nj	Jersey City	NJ	Victoria	Coastal Port	Radio briefing: Jersey City, NJ is stop 070 on the national route. Secure the Jersey City Command Obelisk in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 2: three visible cells feed one returned total.
71	durham_nc	Durham	NC	Daniel	Coastal Port	Radio briefing: Durham, NC is stop 071 on the national route. Secure the Durham Relay Bridge in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 3: compare four safety states before opening the survivor route.
72	lincoln_ne	Lincoln	NE	Alex	River Lockworks	Radio briefing: Lincoln, NE is stop 072 on the national route. Secure the Lincoln Power Crown in the River Lockworks, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
73	north_las_vegas_nv	North Las Vegas	NV	Samantha	Desert Solar Grid	Radio briefing: North Las Vegas, NV is stop 073 on the national route. Secure the North Las Vegas Signal Spire in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
74	plano_tx	Plano	TX	Daniel	Desert Solar Grid	Radio briefing: Plano, TX is stop 074 on the national route. Secure the Plano Rescue Arch in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
75	anchorage_ak	Anchorage	AK	Samantha	Mountain Relay	Radio briefing: Anchorage, AK is stop 075 on the national route. Secure the Anchorage Data Beacon in the Mountain Relay, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
76	gilbert_az	Gilbert	AZ	Samantha	Desert Solar Grid	Radio briefing: Gilbert, AZ is stop 076 on the national route. Secure the Gilbert Command Obelisk in the Desert Solar Grid, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 4: compare four safety states before opening the survivor route.
77	madison_wi	Madison	WI	Alex	Great Lakes Industrial	Radio briefing: Madison, WI is stop 077 on the national route. Secure the Madison Relay Bridge in the Great Lakes Industrial, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 1: visual packets run backward from tower to terminal.
78	reno_nv	Reno	NV	Samantha	Desert Solar Grid	Radio briefing: Reno, NV is stop 078 on the national route. Secure the Reno Power Crown in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
79	chandler_az	Chandler	AZ	Samantha	Desert Solar Grid	Radio briefing: Chandler, AZ is stop 079 on the national route. Secure the Chandler Signal Spire in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
80	st_louis_mo	St. Louis	MO	Alex	River Lockworks	Radio briefing: St. Louis, MO is stop 080 on the national route. Secure the St. Louis Rescue Arch in the River Lockworks, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 4: three visible cells feed one returned total.
81	chula_vista_ca	Chula Vista	CA	Samantha	Coastal Port	Radio briefing: Chula Vista, CA is stop 081 on the national route. Secure the Chula Vista Data Beacon in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 1: compare four safety states before opening the survivor route.
82	buffalo_ny	Buffalo	NY	Victoria	Coastal Port	Radio briefing: Buffalo, NY is stop 082 on the national route. Secure the Buffalo Command Obelisk in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 2: visual packets run backward from tower to terminal.
83	fort_wayne_in	Fort Wayne	IN	Alex	Monsoon Megacity	Radio briefing: Fort Wayne, IN is stop 083 on the national route. Secure the Fort Wayne Relay Bridge in the Monsoon Megacity, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
84	lubbock_tx	Lubbock	TX	Daniel	Desert Solar Grid	Radio briefing: Lubbock, TX is stop 084 on the national route. Secure the Lubbock Power Crown in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
85	st_petersburg_fl	St. Petersburg	FL	Daniel	Coastal Port	Radio briefing: St. Petersburg, FL is stop 085 on the national route. Secure the St. Petersburg Signal Spire in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 1: visual packets run backward from tower to terminal.
86	toledo_oh	Toledo	OH	Alex	Great Lakes Industrial	Radio briefing: Toledo, OH is stop 086 on the national route. Secure the Toledo Rescue Arch in the Great Lakes Industrial, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
87	laredo_tx	Laredo	TX	Daniel	Desert Solar Grid	Radio briefing: Laredo, TX is stop 087 on the national route. Secure the Laredo Data Beacon in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
88	port_st_lucie_fl	Port St. Lucie	FL	Daniel	Coastal Port	Radio briefing: Port St. Lucie, FL is stop 088 on the national route. Secure the Port St. Lucie Command Obelisk in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
89	glendale_az	Glendale	AZ	Samantha	Desert Solar Grid	Radio briefing: Glendale, AZ is stop 089 on the national route. Secure the Glendale Relay Bridge in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
90	irving_tx	Irving	TX	Daniel	Desert Solar Grid	Radio briefing: Irving, TX is stop 090 on the national route. Secure the Irving Power Crown in the Desert Solar Grid, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 2: visual packets run backward from tower to terminal.
91	winston_salem_nc	Winston-Salem	NC	Daniel	Coastal Port	Radio briefing: Winston-Salem, NC is stop 091 on the national route. Secure the Winston-Salem Signal Spire in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
92	chesapeake_va	Chesapeake	VA	Daniel	Coastal Port	Radio briefing: Chesapeake, VA is stop 092 on the national route. Secure the Chesapeake Rescue Arch in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
93	garland_tx	Garland	TX	Daniel	Desert Solar Grid	Radio briefing: Garland, TX is stop 093 on the national route. Secure the Garland Data Beacon in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
94	scottsdale_az	Scottsdale	AZ	Samantha	Desert Solar Grid	Radio briefing: Scottsdale, AZ is stop 094 on the national route. Secure the Scottsdale Command Obelisk in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
95	boise_city_id	Boise City	ID	Samantha	Monsoon Port	Radio briefing: Boise City, ID is stop 095 on the national route. Secure the Boise City Relay Bridge in the Monsoon Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 3: visual packets run backward from tower to terminal.
96	hialeah_fl	Hialeah	FL	Daniel	Coastal Port	Radio briefing: Hialeah, FL is stop 096 on the national route. Secure the Hialeah Power Crown in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
97	frisco_tx	Frisco	TX	Daniel	Desert Solar Grid	Radio briefing: Frisco, TX is stop 097 on the national route. Secure the Frisco Signal Spire in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
