target	capture_surface	expected_signal	review_note
FailSafeObjectiveBoard	Manual screenshot	Journal FAIL-SAFE OBJECTIVE BOARD card with selected language, language-only save slot, start-screen Resume state, active route phase, return markers, Backspace/F8 recovery, protected terminal safety, and next action	The player should be able to reopen J, recover the route, and understand safe controls after relaunch without relying on memory, color, or terminal output history.
SurvivorRescueHandoff	Manual screenshot	Active-language rescue subtitle, dispatch handoff, and extraction beacon	Survivor rescue must read as coding payoff, saved progression, and route closure.
FriendlySafehouseNPCService	Manual screenshot	Civilian Support Hub, role station labels, Engineer/Medic/Scientist/Trader nameplates, and HUD prompt showing benefit or cooldown	Support NPCs must read as playable save-backed services in the selected-language profile rather than ambient decoration.
FriendlyNPCGestureReadability	Manual screenshot	support NPC idle service pose, service grant pose, service denied pose, role prop lift, badge pulse, and role light pulse	Support NPC motion should make service success, cooldown, and precondition refusal visible without relying only on subtitles or moving the collision body.
PlayableOperatorIdentityRuntime	Manual screenshot	HUD Operator: callsign (role) readout plus cast-stage ACTIVE OPERATOR PROFILE board for the current selected-language run	The playable pawn should read as a named save-backed rescue operator, not only a camera-ready mannequin.
SurvivorArchetypeRoster	Manual screenshot	Survivor role marker, halo, HUD prompt, and relief-camp profile card with role, icon, field need, and rescue value	Survivor objectives should read as emotionally specific roster members and save-backed rescue payoffs, not generic objective markers.
SurvivorGestureReadability	Manual screenshot	survivor idle life pose, locked refusal pose, rescue gesture pose, rescue light pulse, and delayed fade-out before extraction handoff	Survivor motion should make locked and rescued states visible without relying only on subtitles or immediately hiding the actor.
StandardDirectPursuitZombies	Manual screenshot	Regular/director/horde zombie marker tags, THREAT COMPASS pursuit state, PURSUIT PRESSURE alert, red attack-windup glow, and protected-zone hold signage	Ordinary zombie pressure should read as fair direct pursuit outside coding spaces, with a visible windup before damage and clear suspension inside protected learning areas.
ZombieMotionReadability	Manual screenshot	regular/director/horde zombie chase sway, attack windup pose, attack lunge pose, hit recoil, and protected learning hold pose	Zombie combat motion should visibly match pursuit, windup, attack, hit, and safe-zone hold states without relying only on labels, glow, or final authored animation assets.
ZombiePhysicalAnimationHitReaction	Manual screenshot	promoted skeletal zombie nonfatal body/head/limb hit flinch, PhysicalAnimationComponent runtime tag, fallback hit glow, and death-physics handoff	Living zombie physical hit blends should be visible only when skeletal PhysicsAssets support them, while fallback readability and death ragdoll behavior remain intact.
CityRadioBarkCadence	Manual screenshot	Radio Relay subtitle with language, terminal/survivor/extraction phase, landmark, and next step	City radio must remain readable when voice playback is absent and when HUD startup timing is tight.
ReactiveThreatAudioMusic	Manual audio review	reactive threat music summary, threat-state subtitle, nearby zombie pressure, and protected safehouse damped state	Threat audio should rise around active zombies and damp in protected learning zones while staying text-backed.
CityAmbientZoneAudio	Manual audio review	[Ambient] zone caption, audio summary ambient label, ZoneAmbientCues bed key, and selected-language track	Ambient identity should change between entry, protected lab, street, survivor route, and extraction spaces without requiring final audio assets.
VisualizedSoundCues	Manual screenshot	Settings Visualize Sound Cues checkbox plus HUD SOUND CUES line under calm, pursuit, protected safehouse, survivor route, and extraction states	Threat music, zone ambience, and caption state must remain visible when sound is muted, low, or unavailable.
MonoAudioAccessibility	Manual audio review	Settings Mono Audio checkbox, Audio mix Mono on readout, visual sound cues locked visible, centered weapon/zombie/survivor cue playback, and refreshed ambient/growl components	Mono mode should make project-owned directional audio cues playable without stereo placement while preserving visual cue awareness and selected-language save/resume behavior.
UITextScaleSettings	Manual screenshot	Settings UI Text Size and Subtitle Size sliders at mismatched values, then HUD, terminal, journal, minimap, save slots, fast travel, pause, tutorial, damage feedback, victory, and death screens	General UI text should scale from the UI Text Size slider while active captions continue to follow only Subtitle Size.
CaseFileCollectibles	Manual screenshot	Glowing case-file slab, CASE FILE prompt, and journal case-file summary	Collectibles must read as story/coding context and save-backed progression.
EnvironmentalStorytelling	VisualReview screenshot	automation failure, safehouse engineer network, survivor stake, code cause/effect, and city chapter story cards at the nonblocking world-story deck	The coding-rescues-people premise should read from mission-fed world cues without blocking traversal, bypassing safehouse protection, or changing selected-language saves.
WorldBibleLore	VisualReview screenshot	premise, pillars, factions/forces, technology rules, and per-city lore data cards at the nonblocking field world-bible deck	The canonical lore contract should read in-world without replacing final authored bible/art/audio work or changing selected-language saves.
RadioScanRescueBeacon	Manual screenshot	RADIO SCAN, SURVIVOR PING, and RESCUE BEACON labels with scan ring, sweep arm, ping nodes, and extraction halo	Beacon effects must read as diegetic route feedback without blocking traversal or depending on external VFX assets.
ExpandedExtractionSetPieces	Manual screenshot	Helipad framed by rooftop, convoy, boat, rail, bridge, or helipad-command staging with extraction set-piece labels	Expanded extraction staging must feel authored while remaining nonblocking and preserving the EVAC HELIPAD prompt.
SequencerIntroBossReveal	VisualReview screenshot	intro, language, terminal, survivor, extraction, and boss reveal camera rails/tripods/lenses plus Sequencer blocking reel board	Cinematic beats should read as a public-demo-ready camera plan with Sequencer and Control Rig fallback markers before final Level Sequence assets replace the blocking layer.
TacticalGearPickups	Manual screenshot	Armory and creative gear hub show scanner, flashlight, ammo pouch, bypass kit, medkit, armor, and utility pickups with HUD gear counts	Pickup colors, labels, and HUD readouts must prove the gear is functional, not decorative.
WeaponQuickSlotArmory	Manual screenshot	Tactical armory QUICK SLOT BOARD plus HUD QUICK SLOTS row with active marker, 1-0 keys, compact weapon names, and magazine/reserve values	Weapon choice should be readable before combat and visibly tied to the selected-language save profile.
InteriorMissionSpaces	Manual screenshot	Open-front hospital, school, store, transit, and civic records interiors with mission boards, route context, functional pickups, and readable door gaps	Interior spaces must read as enterable mission rooms rather than facade-only scenery.
WeatherLightingIdentity	VisualReview screenshot	entry weather shelter, safehouse light pool, and rescue route sky cue with text-first climate labels, weather streaks, ground reflections, and signal lights	Weather and lighting should communicate city climate by district without blocking traversal or depending on color alone.
StealthAvoidance	Manual screenshot	HUD tactical readout showing QUIET, LOW NOISE, NOISY, and EXPOSED stealth states near cover, sprinting, weapon fire, and flashlight use	Stealth/avoidance should be readable as a player choice, not a hidden AI math change.
RegionalCityKits	VisualReview screenshot	regional kit entry gate, landmark vista kit, and objective district kit with kit bible labels, modular swatches, regional motif, and signal lights	Major city regional kits should read from mission data, landmark silhouette, and district style without blocking traversal or depending on color alone.
ChallengeRoomConceptArt	VisualReview screenshot	variables lab, loop control room, array index hall, function relay room, debugger test bay, lesson-specific concept artifact, and curriculum-first review gallery with eight visible/hidden validator stations	Challenge rooms should tie code concepts to physical spaces without blocking protected learning traversal or relying on color alone; gallery review must show mentor and survivor proxies for every validator archetype.
CurriculumFirstReviewGallery	Generated 3D render	Saved/VisualReview/curriculum_first_review_gallery_render.png with station platforms, visible/hidden pylons, mistake markers, mentor proxies, survivor proxies, and labels	Render must be nonblank, readable, and aligned with the runtime gallery manifest for owner review.
EliteWardenMiniBosses	VisualReview screenshot	intel lock gate, mini-boss sentinel lane, warden phase gate, charger/spitter/boomer silhouettes, and active/dormant state label	Warden pressure should read as terminal-intel gated, optional, and role-labeled before the player commits to the boss route.
SaveSlotsLanguageBackups	Manual screenshot	Active language save summary, backup slot states, Save Backup/Load Backup/Delete buttons	Save slots must read as manual backups while preserving the start-screen language resume contract.
HUDVitals	VisualReview screenshot	Health bar green/amber/red ramp, stamina blue/amber/ember ramp, STABLE/LOW/CRITICAL label	HUD vitals must remain readable during combat and under high-contrast settings.
HealthDamageSurvivability	Manual screenshot	PLAYER HEALTH readout, ATTACKED FROM alert, damage amount, source/distance, mitigation text, critical subtitle, and death resume/save/quit panel	Combat survival feedback must explain why damage was survivable and what the player can do next.
DeathReplaySaveQuitFlow	Manual screenshot	YOU WERE OVERRUN title, DeathActionStatus playable recovery checkpoint line, active language slot, resume/fresh/save-and-quit/quit buttons	Death replay choices must make selected-language persistence and playable checkpoint behavior clear before the player restarts or closes.
MinimapRouteMap	VisualReview screenshot	NAV MAP frame, active language/count summary, nearest objective cue, category legend, high-contrast dot colors	Minimap must read as a route scanner, not an unlabeled cluster of dots.
ObjectiveRouteToasts	Manual screenshot	Top-center ObjectiveRouteToastText after terminal solve, survivor rescue, extraction readiness, and CHECKPOINT SAVED language resume	The HUD should acknowledge Terminal solved, Survivor route open, Extraction ready, and start-screen resume without replacing persistent objective, minimap, or journal guidance.
FieldChecklistHUD	Manual screenshot	HUD FIRST TEN MINUTES FIELD CHECKLIST beside the minimap/navigation stack showing track-only save, protected terminal -> survivor marker -> extraction route, current phase, and recovery keys	The field checklist should remain compact, readable, and non-overlapping while reinforcing live route state after the language start screen.
Armory	VisualReview screenshot	Weapon displays, ammo/medkit/armor staging	Arsenal should read immediately.
DistinctWeaponPresentation	Manual screenshot	first-person silhouettes, 17 weapon profiles, fire/reload motion, and weapon HUD label	Weapon identity should read from stance, silhouette, recoil, reload, and HUD text rather than color alone.
CombatJuiceWeaponFeel	Manual screenshot	fire camera kick, hit-stop-style weapon hold, reload settle, damage direction kick, and reduced-motion damped variant	Combat feel should read as impact weight and reload timing without hiding HUD text, damaging accessibility, or requiring final authored weapon montages.
RetargetControlRigSlots	VisualReview screenshot	player body, first-person arms, survivor, friendly NPC, companion, zombie, and boss skeletal runtime slots	Retarget and Control Rig readiness should be visible through profile tags, readable fallback animation, and nonblocking character presentation before final authored assets land.
IKFootGroundingReview	VisualReview screenshot	DCC FOOT IK station plus player, survivor, friendly NPC, companion, zombie, and boss FootGroundingRuntimeContract tags	Full-body skeletal promotion should preserve foot plants, pelvis offset review, and Control Rig foot contact while first-person arms remain explicitly excluded.
MayaCharacterCleanup	VisualReview screenshot	Maya cleanup recipe board plus bind pose, skeleton names, sockets, animation takes, LOD/material, physics asset, FBX export, and promotion stations	Character cleanup should read as a concrete Maya-to-Unreal promotion gate for sockets, animations, physics assets, LODs, and packaged validation before fallback assets are replaced.
ZombieFamilyVariants	VisualReview screenshot	regular city wave, horde wave, dog den, language breach, encounter director, elite sentinel, boomer add, and boss phase add with family labels and marker tags	Zombie families should read through silhouette, behavior, label, marker color, and save continuity without depending on color alone.
EncounterDirectorAdaptivePressure	VisualReview screenshot	DIRECTED ENCOUNTER deck, DIRECTOR STATE board, anchor/flank/pressure/sentinel role lanes, relief pickups, and route-locked or route-open pressure tags	Encounter director pressure should read from objective state, resource state, role markers, and counterplay placement before authored Behavior Tree or StateTree assets replace the C++ fallback.
CollisionChannelGameplayContract	Manual screenshot	Terminal, survivor, friendly NPC, pickup, case file, helipad, Jeep, zombie, and barricade channel-target interactions	E prompts, weapon hits, zombie sight, cover blocking, and collectible targeting should stay separated through named gameplay channels rather than generic visibility.
FixedTimestepPhysicsContract	Manual screenshot	Throwable physics yard, zombie death/hit reaction, barricade debris, Jeep fallback, and stress-rig prop tags	Physics bodies should visibly carry fixed-step review tags and remain readable without jitter, tunneling, or long-lived unstable debris.
DestructibleCoverPhysics	VisualReview screenshot	PHYSICS AMBUSH DRILL, DESTRUCTIBLE COVER DRILL, breakable wood barricades, throwable impact props, concrete cover, and short-lived debris	Readability must prove that destructible cover is playable tactical geometry, not decorative clutter or permanent route blockage.
SurvivorArea	VisualReview screenshot	Cyan survivor marker and rescue route	Survivor objective must be legible.
HelipadExtraction	VisualReview screenshot	Helipad marker and extraction/debrief cue	End-of-city objective should be visible.
FastTravelEvacRoute	Manual screenshot	EVAC HELI title, active language save summary, NEXT OPERATION action, redeploy row states	Fast-travel menu must read as extraction debrief plus route control, not a generic button list.
EndStateLanguageRun	Manual screenshot	Death/victory title, active language resume slot, run summary, scrollable stats, language-run save/restart/quit actions	End-state screens must make resume behavior clear before the player closes or restarts.
MacRenderingAAProfile	Packaged render smoke	Apple Silicon TAA baseline, no TSR temporal upsampling, motion-heavy combat readable	Fast zombies and dark city edges should not show TSR-style ghost trails in the Mac baseline.
MacHairCompatibilityBoard	VisualReview screenshot	Character stage labels Mac hair-card fallback, active download intake separates Groom review from Hair cards	MetaHuman and groom source assets must read as reviewed inputs, while card/mesh hair reads as the Mac runtime path.
MacFeatureCapabilityGate	VisualReview screenshot	Active download intake shows Nanite SM6 and Fallback LOD as separate review gates	Nanite/VSM/SM6 content must read as target-hardware gated, with non-Nanite fallback required for broad Mac play.
MacAssetImportBudgetGate	VisualReview screenshot	Active download intake shows LOD audit, Texture cap, and Shader trim as separate review gates	Imported skeletal meshes, city modules, textures, shaders, VFX, and physics props must read as budget-gated before runtime promotion.
WorldPromotionValidation	VisualReview screenshot	Houdini/PCG city design cells, district kit modules, and route strips remain visible and passable	World promotion must read as authored city-module, PCG, human-scale, and streaming validation without blocking the current playable route.
RuntimeDataLayerMigration	VisualReview screenshot	streaming, safehouse, combat, objective, and weather/time Data Layer cards at the runtime World Partition review station	Runtime Data Layer migration should read as state, time, mode, weather, and streaming evidence without blocking the current playable route or replacing authored Data Layers prematurely.
HoudiniModularCityOutput	VisualReview screenshot	Houdini output recipe board, facade kit, safehouse cell, rubble variation set, collision proxy, streaming budget cell, and route spline knots	Generated city output should read as deterministic, modular, collision-aware, streaming-budget-gated, and nonblocking before future Houdini/PCG exports replace the fallback city.
MacCompatibilityValidation	VisualReview screenshot	Groom review, Hair cards, Nanite SM6, Fallback LOD, LOD audit, Texture cap, and Shader trim all remain distinct	Mac compatibility must read as fallback-gated promotion for hair, Nanite/SM6, mesh LODs, texture memory, and shader-heavy content.
SquadHUD	VisualReview screenshot	Named role pips, formation, medic, support-fire state, and role-specific order feedback	Squad controls need readable named status.
CompanionGestureReadability	Manual screenshot	role signal light, idle follow/hold pose, support-fire recoil pose, medic pulse pose, order acknowledgment pose, and damage flinch pose	Companion motion should make teammate actions readable in-world without depending only on HUD pips or subtitles.
SettingsAccessibility	Manual screenshot	Scrollable settings, subtitle/aim/color vision/readout controls	Accessibility controls must not overflow at 720p.
InventoryMapJournal	Manual screenshot	Language save continuity, LANGUAGE PROFILE RECAP, LAST LEARNING DEBRIEF, CHALLENGE REPLAY BRIEF, route map, field inventory, survivor intel dossier, and city progress rows	Journal must make selected-language save, profile stats, latest learning takeaway, replay guidance, inventory, map, intel, objectives, and city progress readable in one overlay.
LanguageProfileRecap	Manual screenshot	Journal LANGUAGE PROFILE RECAP with mastery, difficulty, profile stats, run stats, stage recap, review recommendation, and save-slot preview	Language profile recap must make stage recap, profile stats, review recommendation, and start-screen Resume slot readable without depending on color, audio, or terminal history.
ChallengeReplayJournal	Manual screenshot	Journal CHALLENGE REPLAY BRIEF with selected language, challenge, concept, score, visible goal, hidden-test replay note, practice action, and start-screen Resume continuity	Challenge replay must remain readable after terminal close and after language-slot resume without depending on color, audio, or terminal output history.
