rank	slug	city	voice	radio_key	subtitle_fallback	system_voice_fallback	cooked_cue_strategy	ambient_zone	coverage_status
15	columbus_oh	Columbus	Alex	campaign.015.columbus_oh.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
16	indianapolis_in	Indianapolis	Alex	campaign.016.indianapolis_in.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
17	san_francisco_ca	San Francisco	Samantha	campaign.017.san_francisco_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
18	seattle_wa	Seattle	Samantha	campaign.018.seattle_wa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
19	denver_co	Denver	Samantha	campaign.019.denver_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
20	oklahoma_city_ok	Oklahoma City	Daniel	campaign.020.oklahoma_city_ok.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
21	nashville_davidson_tn	Nashville-Davidson	Daniel	campaign.021.nashville_davidson_tn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
22	washington_dc	Washington	Daniel	campaign.022.washington_dc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
23	el_paso_tx	El Paso	Daniel	campaign.023.el_paso_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
24	las_vegas_nv	Las Vegas	Samantha	campaign.024.las_vegas_nv.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
25	boston_ma	Boston	Victoria	campaign.025.boston_ma.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
26	detroit_mi	Detroit	Alex	campaign.026.detroit_mi.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
27	louisville_jefferson_county_ky	Louisville/Jefferson County	Daniel	campaign.027.louisville_jefferson_county_ky.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
28	portland_or	Portland	Samantha	campaign.028.portland_or.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
29	memphis_tn	Memphis	Daniel	campaign.029.memphis_tn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
30	baltimore_md	Baltimore	Daniel	campaign.030.baltimore_md.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
31	milwaukee_wi	Milwaukee	Alex	campaign.031.milwaukee_wi.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
32	albuquerque_nm	Albuquerque	Samantha	campaign.032.albuquerque_nm.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
33	tucson_az	Tucson	Samantha	campaign.033.tucson_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
34	fresno_ca	Fresno	Samantha	campaign.034.fresno_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
35	sacramento_ca	Sacramento	Samantha	campaign.035.sacramento_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
36	atlanta_ga	Atlanta	Daniel	campaign.036.atlanta_ga.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
37	mesa_az	Mesa	Samantha	campaign.037.mesa_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
38	kansas_city_mo	Kansas City	Alex	campaign.038.kansas_city_mo.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
39	raleigh_nc	Raleigh	Daniel	campaign.039.raleigh_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
40	colorado_springs_co	Colorado Springs	Samantha	campaign.040.colorado_springs_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
41	omaha_ne	Omaha	Alex	campaign.041.omaha_ne.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
42	miami_fl	Miami	Daniel	campaign.042.miami_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
43	virginia_beach_va	Virginia Beach	Daniel	campaign.043.virginia_beach_va.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
44	long_beach_ca	Long Beach	Samantha	campaign.044.long_beach_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
45	oakland_ca	Oakland	Samantha	campaign.045.oakland_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
46	minneapolis_mn	Minneapolis	Alex	campaign.046.minneapolis_mn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
47	bakersfield_ca	Bakersfield	Samantha	campaign.047.bakersfield_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
48	tulsa_ok	Tulsa	Daniel	campaign.048.tulsa_ok.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
49	tampa_fl	Tampa	Daniel	campaign.049.tampa_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
50	arlington_tx	Arlington	Daniel	campaign.050.arlington_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
51	aurora_co	Aurora	Samantha	campaign.051.aurora_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
52	wichita_ks	Wichita	Alex	campaign.052.wichita_ks.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
53	cleveland_oh	Cleveland	Alex	campaign.053.cleveland_oh.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
54	new_orleans_la	New Orleans	Daniel	campaign.054.new_orleans_la.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
55	henderson_nv	Henderson	Samantha	campaign.055.henderson_nv.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
56	urban_honolulu_hi	Urban Honolulu	Samantha	campaign.056.urban_honolulu_hi.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
57	anaheim_ca	Anaheim	Samantha	campaign.057.anaheim_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
58	orlando_fl	Orlando	Daniel	campaign.058.orlando_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
59	lexington_fayette_ky	Lexington-Fayette	Daniel	campaign.059.lexington_fayette_ky.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
60	stockton_ca	Stockton	Samantha	campaign.060.stockton_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
61	riverside_ca	Riverside	Samantha	campaign.061.riverside_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
62	irvine_ca	Irvine	Samantha	campaign.062.irvine_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
63	corpus_christi_tx	Corpus Christi	Daniel	campaign.063.corpus_christi_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
64	newark_nj	Newark	Victoria	campaign.064.newark_nj.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
65	santa_ana_ca	Santa Ana	Samantha	campaign.065.santa_ana_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
66	cincinnati_oh	Cincinnati	Alex	campaign.066.cincinnati_oh.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
67	pittsburgh_pa	Pittsburgh	Victoria	campaign.067.pittsburgh_pa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
68	st_paul_mn	St. Paul	Alex	campaign.068.st_paul_mn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
69	greensboro_nc	Greensboro	Daniel	campaign.069.greensboro_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
70	jersey_city_nj	Jersey City	Victoria	campaign.070.jersey_city_nj.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
71	durham_nc	Durham	Daniel	campaign.071.durham_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
72	lincoln_ne	Lincoln	Alex	campaign.072.lincoln_ne.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
73	north_las_vegas_nv	North Las Vegas	Samantha	campaign.073.north_las_vegas_nv.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
74	plano_tx	Plano	Daniel	campaign.074.plano_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
75	anchorage_ak	Anchorage	Samantha	campaign.075.anchorage_ak.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
76	gilbert_az	Gilbert	Samantha	campaign.076.gilbert_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
77	madison_wi	Madison	Alex	campaign.077.madison_wi.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
78	reno_nv	Reno	Samantha	campaign.078.reno_nv.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
79	chandler_az	Chandler	Samantha	campaign.079.chandler_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
80	st_louis_mo	St. Louis	Alex	campaign.080.st_louis_mo.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
81	chula_vista_ca	Chula Vista	Samantha	campaign.081.chula_vista_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
82	buffalo_ny	Buffalo	Victoria	campaign.082.buffalo_ny.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
83	fort_wayne_in	Fort Wayne	Alex	campaign.083.fort_wayne_in.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
84	lubbock_tx	Lubbock	Daniel	campaign.084.lubbock_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
85	st_petersburg_fl	St. Petersburg	Daniel	campaign.085.st_petersburg_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
86	toledo_oh	Toledo	Alex	campaign.086.toledo_oh.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
87	laredo_tx	Laredo	Daniel	campaign.087.laredo_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
88	port_st_lucie_fl	Port St. Lucie	Daniel	campaign.088.port_st_lucie_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
89	glendale_az	Glendale	Samantha	campaign.089.glendale_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
90	irving_tx	Irving	Daniel	campaign.090.irving_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
91	winston_salem_nc	Winston-Salem	Daniel	campaign.091.winston_salem_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
92	chesapeake_va	Chesapeake	Daniel	campaign.092.chesapeake_va.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
93	garland_tx	Garland	Daniel	campaign.093.garland_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
94	scottsdale_az	Scottsdale	Samantha	campaign.094.scottsdale_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
95	boise_city_id	Boise City	Samantha	campaign.095.boise_city_id.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
96	hialeah_fl	Hialeah	Daniel	campaign.096.hialeah_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
97	frisco_tx	Frisco	Daniel	campaign.097.frisco_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
98	richmond_va	Richmond	Daniel	campaign.098.richmond_va.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
99	cape_coral_fl	Cape Coral	Daniel	campaign.099.cape_coral_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
100	norfolk_va	Norfolk	Daniel	campaign.100.norfolk_va.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
101	spokane_wa	Spokane	Samantha	campaign.101.spokane_wa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
102	huntsville_al	Huntsville	Daniel	campaign.102.huntsville_al.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
103	santa_clarita_ca	Santa Clarita	Samantha	campaign.103.santa_clarita_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
104	tacoma_wa	Tacoma	Samantha	campaign.104.tacoma_wa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
105	fremont_ca	Fremont	Samantha	campaign.105.fremont_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
106	mckinney_tx	McKinney	Daniel	campaign.106.mckinney_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
107	san_bernardino_ca	San Bernardino	Samantha	campaign.107.san_bernardino_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
108	baton_rouge_la	Baton Rouge	Daniel	campaign.108.baton_rouge_la.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
109	modesto_ca	Modesto	Samantha	campaign.109.modesto_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
110	fontana_ca	Fontana	Samantha	campaign.110.fontana_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
111	salt_lake_city_ut	Salt Lake City	Samantha	campaign.111.salt_lake_city_ut.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
112	moreno_valley_ca	Moreno Valley	Samantha	campaign.112.moreno_valley_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
113	des_moines_ia	Des Moines	Alex	campaign.113.des_moines_ia.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
114	worcester_ma	Worcester	Victoria	campaign.114.worcester_ma.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
115	yonkers_ny	Yonkers	Victoria	campaign.115.yonkers_ny.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
116	fayetteville_nc	Fayetteville	Daniel	campaign.116.fayetteville_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
117	sioux_falls_sd	Sioux Falls	Alex	campaign.117.sioux_falls_sd.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
118	grand_prairie_tx	Grand Prairie	Daniel	campaign.118.grand_prairie_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
119	rochester_ny	Rochester	Victoria	campaign.119.rochester_ny.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
120	tallahassee_fl	Tallahassee	Daniel	campaign.120.tallahassee_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
121	little_rock_ar	Little Rock	Daniel	campaign.121.little_rock_ar.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
122	amarillo_tx	Amarillo	Daniel	campaign.122.amarillo_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
123	overland_park_ks	Overland Park	Alex	campaign.123.overland_park_ks.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
124	columbus_ga	Columbus	Daniel	campaign.124.columbus_ga.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
125	augusta_richmond_county_ga	Augusta-Richmond County	Daniel	campaign.125.augusta_richmond_county_ga.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
126	mobile_al	Mobile	Daniel	campaign.126.mobile_al.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
127	oxnard_ca	Oxnard	Samantha	campaign.127.oxnard_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
128	grand_rapids_mi	Grand Rapids	Alex	campaign.128.grand_rapids_mi.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
129	peoria_az	Peoria	Samantha	campaign.129.peoria_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
130	vancouver_wa	Vancouver	Samantha	campaign.130.vancouver_wa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
131	knoxville_tn	Knoxville	Daniel	campaign.131.knoxville_tn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
132	birmingham_al	Birmingham	Daniel	campaign.132.birmingham_al.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
133	montgomery_al	Montgomery	Daniel	campaign.133.montgomery_al.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
134	providence_ri	Providence	Victoria	campaign.134.providence_ri.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
