rank	slug	city	review_route	required_checks
28	portland_or	Portland	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
29	memphis_tn	Memphis	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
30	baltimore_md	Baltimore	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
31	milwaukee_wi	Milwaukee	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
32	albuquerque_nm	Albuquerque	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
33	tucson_az	Tucson	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
34	fresno_ca	Fresno	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
35	sacramento_ca	Sacramento	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
36	atlanta_ga	Atlanta	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
37	mesa_az	Mesa	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
38	kansas_city_mo	Kansas City	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
39	raleigh_nc	Raleigh	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
40	colorado_springs_co	Colorado Springs	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
41	omaha_ne	Omaha	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
42	miami_fl	Miami	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
43	virginia_beach_va	Virginia Beach	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
44	long_beach_ca	Long Beach	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
45	oakland_ca	Oakland	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
46	minneapolis_mn	Minneapolis	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
47	bakersfield_ca	Bakersfield	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
48	tulsa_ok	Tulsa	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
49	tampa_fl	Tampa	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
50	arlington_tx	Arlington	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
51	aurora_co	Aurora	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
52	wichita_ks	Wichita	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
53	cleveland_oh	Cleveland	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
54	new_orleans_la	New Orleans	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
55	henderson_nv	Henderson	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
56	urban_honolulu_hi	Urban Honolulu	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
57	anaheim_ca	Anaheim	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
58	orlando_fl	Orlando	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
59	lexington_fayette_ky	Lexington-Fayette	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
60	stockton_ca	Stockton	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
61	riverside_ca	Riverside	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
62	irvine_ca	Irvine	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
63	corpus_christi_tx	Corpus Christi	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
64	newark_nj	Newark	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
65	santa_ana_ca	Santa Ana	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
66	cincinnati_oh	Cincinnati	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
67	pittsburgh_pa	Pittsburgh	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
68	st_paul_mn	St. Paul	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
69	greensboro_nc	Greensboro	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
70	jersey_city_nj	Jersey City	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
71	durham_nc	Durham	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
72	lincoln_ne	Lincoln	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
73	north_las_vegas_nv	North Las Vegas	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
74	plano_tx	Plano	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
75	anchorage_ak	Anchorage	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
76	gilbert_az	Gilbert	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
77	madison_wi	Madison	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
78	reno_nv	Reno	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
79	chandler_az	Chandler	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
80	st_louis_mo	St. Louis	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
81	chula_vista_ca	Chula Vista	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
82	buffalo_ny	Buffalo	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
83	fort_wayne_in	Fort Wayne	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
84	lubbock_tx	Lubbock	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
85	st_petersburg_fl	St. Petersburg	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
86	toledo_oh	Toledo	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
87	laredo_tx	Laredo	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
88	port_st_lucie_fl	Port St. Lucie	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
89	glendale_az	Glendale	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
90	irving_tx	Irving	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
91	winston_salem_nc	Winston-Salem	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
92	chesapeake_va	Chesapeake	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
93	garland_tx	Garland	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
94	scottsdale_az	Scottsdale	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
95	boise_city_id	Boise City	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
96	hialeah_fl	Hialeah	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
97	frisco_tx	Frisco	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
98	richmond_va	Richmond	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
99	cape_coral_fl	Cape Coral	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
100	norfolk_va	Norfolk	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
101	spokane_wa	Spokane	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
102	huntsville_al	Huntsville	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
103	santa_clarita_ca	Santa Clarita	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
104	tacoma_wa	Tacoma	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
105	fremont_ca	Fremont	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
106	mckinney_tx	McKinney	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
107	san_bernardino_ca	San Bernardino	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
108	baton_rouge_la	Baton Rouge	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
109	modesto_ca	Modesto	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
110	fontana_ca	Fontana	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
111	salt_lake_city_ut	Salt Lake City	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
112	moreno_valley_ca	Moreno Valley	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
113	des_moines_ia	Des Moines	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
114	worcester_ma	Worcester	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
115	yonkers_ny	Yonkers	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
116	fayetteville_nc	Fayetteville	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
117	sioux_falls_sd	Sioux Falls	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
118	grand_prairie_tx	Grand Prairie	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
119	rochester_ny	Rochester	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
120	tallahassee_fl	Tallahassee	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
121	little_rock_ar	Little Rock	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
122	amarillo_tx	Amarillo	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
123	overland_park_ks	Overland Park	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
124	columbus_ga	Columbus	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
125	augusta_richmond_county_ga	Augusta-Richmond County	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
126	mobile_al	Mobile	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
127	oxnard_ca	Oxnard	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
128	grand_rapids_mi	Grand Rapids	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
129	peoria_az	Peoria	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
