rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
35	sacramento_ca	Sacramento	Western Corridor	Western Corridor power-grid substation	Coastal Port	Sacramento Relay Bridge	Coastal Port with three-cell power dais around Sacramento Relay Bridge, signature 035	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
36	atlanta_ga	Atlanta	Southern Evac Line	Southern Evac Line security checkpoint	Coastal Port	Atlanta Power Crown	Coastal Port with dual-gate checkpoint around Atlanta Power Crown, signature 036	Truth-table gate 4: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
37	mesa_az	Mesa	Western Corridor	Western Corridor radio tower district	Desert Solar Grid	Mesa Signal Spire	Desert Solar Grid with backward radio mast around Mesa Signal Spire, signature 037	Radio rewind mast 1: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
38	kansas_city_mo	Kansas City	Midwest Grid	Midwest Grid mirror-code archive	River Lockworks	Kansas City Rescue Arch	River Lockworks with mirrored plaza around Kansas City Rescue Arch, signature 038	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
39	raleigh_nc	Raleigh	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	Raleigh Data Beacon	Coastal Port with timed beacon pylons around Raleigh Data Beacon, signature 039	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
40	colorado_springs_co	Colorado Springs	Western Corridor	Western Corridor power-grid substation	Latin Metro	Colorado Springs Command Obelisk	Latin Metro with three-cell power dais around Colorado Springs Command Obelisk, signature 040	Power-cell puzzle 4: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
41	omaha_ne	Omaha	Midwest Grid	Midwest Grid security checkpoint	River Lockworks	Omaha Relay Bridge	River Lockworks with dual-gate checkpoint around Omaha Relay Bridge, signature 041	Truth-table gate 1: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
42	miami_fl	Miami	Southern Evac Line	Southern Evac Line radio tower district	Coastal Port	Miami Power Crown	Coastal Port with backward radio mast around Miami Power Crown, signature 042	Radio rewind mast 2: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
43	virginia_beach_va	Virginia Beach	Southern Evac Line	Southern Evac Line mirror-code archive	Coastal Port	Virginia Beach Signal Spire	Coastal Port with mirrored plaza around Virginia Beach Signal Spire, signature 043	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
44	long_beach_ca	Long Beach	Western Corridor	Western Corridor drone beacon yard	Coastal Port	Long Beach Rescue Arch	Coastal Port with timed beacon pylons around Long Beach Rescue Arch, signature 044	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
45	oakland_ca	Oakland	Western Corridor	Western Corridor power-grid substation	Coastal Port	Oakland Data Beacon	Coastal Port with three-cell power dais around Oakland Data Beacon, signature 045	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
46	minneapolis_mn	Minneapolis	Midwest Grid	Midwest Grid security checkpoint	Great Lakes Industrial	Minneapolis Command Obelisk	Great Lakes Industrial with dual-gate checkpoint around Minneapolis Command Obelisk, signature 046	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
47	bakersfield_ca	Bakersfield	Western Corridor	Western Corridor radio tower district	Coastal Port	Bakersfield Relay Bridge	Coastal Port with backward radio mast around Bakersfield Relay Bridge, signature 047	Radio rewind mast 3: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
48	tulsa_ok	Tulsa	Southern Evac Line	Southern Evac Line mirror-code archive	Metro Core	Tulsa Power Crown	Metro Core with mirrored plaza around Tulsa Power Crown, signature 048	Mirror-code walk 4: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
49	tampa_fl	Tampa	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	Tampa Signal Spire	Coastal Port with timed beacon pylons around Tampa Signal Spire, signature 049	Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
50	arlington_tx	Arlington	Southern Evac Line	Southern Evac Line power-grid substation	Desert Solar Grid	Arlington Rescue Arch	Desert Solar Grid with three-cell power dais around Arlington Rescue Arch, signature 050	Power-cell puzzle 2: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
51	aurora_co	Aurora	Western Corridor	Western Corridor security checkpoint	Latin Metro	Aurora Data Beacon	Latin Metro with dual-gate checkpoint around Aurora Data Beacon, signature 051	Truth-table gate 3: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
52	wichita_ks	Wichita	Midwest Grid	Midwest Grid radio tower district	Rail Yard	Wichita Command Obelisk	Rail Yard with backward radio mast around Wichita Command Obelisk, signature 052	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
53	cleveland_oh	Cleveland	Midwest Grid	Midwest Grid mirror-code archive	Great Lakes Industrial	Cleveland Relay Bridge	Great Lakes Industrial with mirrored plaza around Cleveland Relay Bridge, signature 053	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
54	new_orleans_la	New Orleans	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	New Orleans Power Crown	Coastal Port with timed beacon pylons around New Orleans Power Crown, signature 054	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
55	henderson_nv	Henderson	Western Corridor	Western Corridor power-grid substation	Desert Solar Grid	Henderson Signal Spire	Desert Solar Grid with three-cell power dais around Henderson Signal Spire, signature 055	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
56	urban_honolulu_hi	Urban Honolulu	Western Corridor	Western Corridor security checkpoint	Coastal Port	Urban Honolulu Rescue Arch	Coastal Port with dual-gate checkpoint around Urban Honolulu Rescue Arch, signature 056	Truth-table gate 4: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
57	anaheim_ca	Anaheim	Western Corridor	Western Corridor radio tower district	Coastal Port	Anaheim Data Beacon	Coastal Port with backward radio mast around Anaheim Data Beacon, signature 057	Radio rewind mast 1: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
58	orlando_fl	Orlando	Southern Evac Line	Southern Evac Line mirror-code archive	Coastal Port	Orlando Command Obelisk	Coastal Port with mirrored plaza around Orlando Command Obelisk, signature 058	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
59	lexington_fayette_ky	Lexington-Fayette	Southern Evac Line	Southern Evac Line drone beacon yard	River Lockworks	Lexington-Fayette Relay Bridge	River Lockworks with timed beacon pylons around Lexington-Fayette Relay Bridge, signature 059	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
60	stockton_ca	Stockton	Western Corridor	Western Corridor power-grid substation	Coastal Port	Stockton Power Crown	Coastal Port with three-cell power dais around Stockton Power Crown, signature 060	Power-cell puzzle 4: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
61	riverside_ca	Riverside	Western Corridor	Western Corridor security checkpoint	Coastal Port	Riverside Signal Spire	Coastal Port with dual-gate checkpoint around Riverside Signal Spire, signature 061	Truth-table gate 1: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
62	irvine_ca	Irvine	Western Corridor	Western Corridor radio tower district	Coastal Port	Irvine Rescue Arch	Coastal Port with backward radio mast around Irvine Rescue Arch, signature 062	Radio rewind mast 2: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
63	corpus_christi_tx	Corpus Christi	Southern Evac Line	Southern Evac Line mirror-code archive	Desert Solar Grid	Corpus Christi Data Beacon	Desert Solar Grid with mirrored plaza around Corpus Christi Data Beacon, signature 063	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
64	newark_nj	Newark	Northeast Relay	Northeast Relay drone beacon yard	Coastal Port	Newark Command Obelisk	Coastal Port with timed beacon pylons around Newark Command Obelisk, signature 064	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
65	santa_ana_ca	Santa Ana	Western Corridor	Western Corridor power-grid substation	Coastal Port	Santa Ana Relay Bridge	Coastal Port with three-cell power dais around Santa Ana Relay Bridge, signature 065	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
66	cincinnati_oh	Cincinnati	Midwest Grid	Midwest Grid security checkpoint	Great Lakes Industrial	Cincinnati Power Crown	Great Lakes Industrial with dual-gate checkpoint around Cincinnati Power Crown, signature 066	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
67	pittsburgh_pa	Pittsburgh	Northeast Relay	Northeast Relay radio tower district	Latin Metro	Pittsburgh Signal Spire	Latin Metro with backward radio mast around Pittsburgh Signal Spire, signature 067	Radio rewind mast 3: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
