namespace	key	source_text	context
CodeRescueCampaign	campaign.002.los_angeles_ca.visible	Visible test: shouldUnlock(true, true) must return true.	Visible test description for Los Angeles, CA
CodeRescueCampaign	campaign.002.los_angeles_ca.hidden	Hidden tests: unsafe pairs true/false, false/true, and false/false must all stay locked.	Hidden test description for Los Angeles, CA
CodeRescueCampaign	campaign.003.chicago_il.terminal_title	Chicago: Emergency Grid Sum	Terminal title for Chicago, IL
CodeRescueCampaign	campaign.003.chicago_il.mission_brief	Chicago has unstable backup cells. Write totalPower/total_power to sum three battery readings and restore the city hub. Stage 1 - Foundations. Curriculum focus: function inputs, arithmetic, and return values. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: return the computed total from the function instead of printing it. Recommended first pass: Python. Hint: the harness calls your function directly, so return the value instead of only printing it. Architecture: Great Lakes Industrial with three-cell power dais around Chicago Data Beacon, signature 003 Play detail: Power-cell puzzle 3: three visible cells feed one returned total. Language track: Python track emphasizes small readable helpers, list operations, and clear loop intent. Current concept: function inputs, arithmetic, and return values. Rank 003 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: returning a computed value is the first reliable contract between code and the game world. Predict before coding: predict the returned total for three small inputs before editing. Optional worked example: worked example: 20, 15, and 10 return 45. Code-trace mini-game: trace one visible case before editing. Mistake glossary: printing instead of returning hides the value from the validator. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 4. Visual debugger: three power cells light as inputs combine into one return value so the function contract is visible. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: power-grid apprentice mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for Chicago. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Midwest Grid ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 003, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: totalPower(20, 15, 10) must return 45. Hidden tests: smaller city-grid inputs include zeros and variant batch 4.	Terminal mission brief for Chicago, IL
CodeRescueCampaign	campaign.003.chicago_il.radio_briefing	Radio briefing: Chicago, IL is stop 003 on the national route. Secure the Chicago Data Beacon in the Great Lakes Industrial, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.	Radio/subtitle briefing for Chicago, IL
CodeRescueCampaign	campaign.003.chicago_il.hint	Hint: the harness calls your function directly, so return the value instead of only printing it.	Coding hint for Chicago, IL
CodeRescueCampaign	campaign.003.chicago_il.visible	Visible test: totalPower(20, 15, 10) must return 45.	Visible test description for Chicago, IL
CodeRescueCampaign	campaign.003.chicago_il.hidden	Hidden tests: smaller city-grid inputs include zeros and variant batch 4.	Hidden test description for Chicago, IL
CodeRescueCampaign	campaign.004.houston_tx.terminal_title	Houston: Signal Reversal Drill	Terminal title for Houston, TX
CodeRescueCampaign	campaign.004.houston_tx.mission_brief	"Houston is receiving reversed radio packets. Write reverseString/reverse_string to restore the message before evacuation can continue. Stage 1 - Foundations. Curriculum focus: string traversal and reversal. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: walk the input from the far end back to the front. Recommended first pass: MATLAB. Hint: either use the language's reverse tool or copy characters from the end toward the front. Architecture: Desert Solar Grid with backward radio mast around Houston Command Obelisk, signature 004 Play detail: Radio rewind mast 4: visual packets run backward from tower to terminal. Language track: MATLAB track emphasizes function-file naming, one-based indexing, arrays, and vector-friendly reasoning. Current concept: string traversal and reversal. Rank 004 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: reverse traversal teaches indexes, bounds, and careful movement through strings. Predict before coding: predict the first and last output characters before writing the loop. Optional worked example: worked example: rescue becomes eucser by reading from the end. Code-trace mini-game: trace one visible case before editing. Mistake glossary: off-by-one indexes drop the first or last character. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 5. Visual debugger: packet tiles light from right to left as each character moves so off-by-one errors become visible before validation. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: radio-code cleanup specialist mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for Houston. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Southern Evac Line ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 004, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: reverseString(""rescue"") must return ""eucser"". Hidden tests: mixed-case signal 5 and a second city packet must reverse exactly."	Terminal mission brief for Houston, TX
CodeRescueCampaign	campaign.004.houston_tx.radio_briefing	Radio briefing: Houston, TX is stop 004 on the national route. Secure the Houston Command Obelisk in the Desert Solar Grid, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.	Radio/subtitle briefing for Houston, TX
CodeRescueCampaign	campaign.004.houston_tx.hint	Hint: either use the language's reverse tool or copy characters from the end toward the front.	Coding hint for Houston, TX
CodeRescueCampaign	campaign.004.houston_tx.visible	"Visible test: reverseString(""rescue"") must return ""eucser""."	Visible test description for Houston, TX
CodeRescueCampaign	campaign.004.houston_tx.hidden	Hidden tests: mixed-case signal 5 and a second city packet must reverse exactly.	Hidden test description for Houston, TX
CodeRescueCampaign	campaign.005.phoenix_az.terminal_title	Phoenix: Emergency Grid Sum	Terminal title for Phoenix, AZ
CodeRescueCampaign	campaign.005.phoenix_az.mission_brief	Phoenix has unstable backup cells. Write totalPower/total_power to sum three battery readings and restore the city hub. Stage 1 - Foundations. Curriculum focus: function inputs, arithmetic, and return values. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: return the computed total from the function instead of printing it. Recommended first pass: C+. Hint: the harness calls your function directly, so return the value instead of only printing it. Architecture: Desert Solar Grid with three-cell power dais around Phoenix Relay Bridge, signature 005 Play detail: Power-cell puzzle 1: three visible cells feed one returned total. Language track: C+ track emphasizes C-style fundamentals with gentle C++ standard-library introductions. Current concept: function inputs, arithmetic, and return values. Rank 005 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: returning a computed value is the first reliable contract between code and the game world. Predict before coding: predict the returned total for three small inputs before editing. Optional worked example: worked example: 20, 15, and 10 return 45. Code-trace mini-game: trace one visible case before editing. Mistake glossary: printing instead of returning hides the value from the validator. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 1. Visual debugger: three power cells light as inputs combine into one return value so the function contract is visible. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: power-grid apprentice mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for Phoenix. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Western Corridor ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 005, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: totalPower(20, 15, 10) must return 45. Hidden tests: smaller city-grid inputs include zeros and variant batch 1.	Terminal mission brief for Phoenix, AZ
CodeRescueCampaign	campaign.005.phoenix_az.radio_briefing	Radio briefing: Phoenix, AZ is stop 005 on the national route. Secure the Phoenix Relay Bridge in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.	Radio/subtitle briefing for Phoenix, AZ
CodeRescueCampaign	campaign.005.phoenix_az.hint	Hint: the harness calls your function directly, so return the value instead of only printing it.	Coding hint for Phoenix, AZ
CodeRescueCampaign	campaign.005.phoenix_az.visible	Visible test: totalPower(20, 15, 10) must return 45.	Visible test description for Phoenix, AZ
CodeRescueCampaign	campaign.005.phoenix_az.hidden	Hidden tests: smaller city-grid inputs include zeros and variant batch 1.	Hidden test description for Phoenix, AZ
CodeRescueCampaign	campaign.006.philadelphia_pa.terminal_title	Philadelphia: Access Gate Boolean Logic	Terminal title for Philadelphia, PA
CodeRescueCampaign	campaign.006.philadelphia_pa.mission_brief	Philadelphia is locked behind a rescue gate. Write shouldUnlock/should_unlock so the gate opens only when both safety conditions are true. Stage 1 - Foundations. Curriculum focus: boolean safety gates. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: build a tiny truth table before writing the condition. Recommended first pass: C++. Hint: list every boolean input pair before deciding whether && or || matches the safety rule. Architecture: Latin Metro with dual-gate checkpoint around Philadelphia Power Crown, signature 006 Play detail: Truth-table gate 2: compare four safety states before opening the survivor route. Language track: C++ track emphasizes typed functions, vectors, strings, and standard-library algorithms. Current concept: boolean safety gates. Rank 006 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: boolean logic is how software turns policy into a safe yes-or-no decision. Predict before coding: predict which of the four true/false input pairs should open the route. Optional worked example: worked example: true && false stays locked; true && true opens. Code-trace mini-game: trace one visible case before editing. Mistake glossary: OR opens unsafe pairs; missing return leaves the harness with no decision. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 2. Visual debugger: truth-table lamps show boolean inputs and the final gate state so players can trace every safe and unsafe pair before coding. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: systems mechanic mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for Philadelphia. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Northeast Relay ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 006, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: shouldUnlock(true, true) must return true. Hidden tests: unsafe pairs true/false, false/true, and false/false must all stay locked.	Terminal mission brief for Philadelphia, PA
CodeRescueCampaign	campaign.006.philadelphia_pa.radio_briefing	Radio briefing: Philadelphia, PA is stop 006 on the national route. Secure the Philadelphia Power Crown in the Latin Metro, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.	Radio/subtitle briefing for Philadelphia, PA
CodeRescueCampaign	campaign.006.philadelphia_pa.hint	Hint: list every boolean input pair before deciding whether && or || matches the safety rule.	Coding hint for Philadelphia, PA
CodeRescueCampaign	campaign.006.philadelphia_pa.visible	Visible test: shouldUnlock(true, true) must return true.	Visible test description for Philadelphia, PA
CodeRescueCampaign	campaign.006.philadelphia_pa.hidden	Hidden tests: unsafe pairs true/false, false/true, and false/false must all stay locked.	Hidden test description for Philadelphia, PA
CodeRescueCampaign	campaign.007.san_antonio_tx.terminal_title	San Antonio: Emergency Grid Sum	Terminal title for San Antonio, TX
CodeRescueCampaign	campaign.007.san_antonio_tx.mission_brief	San Antonio has unstable backup cells. Write totalPower/total_power to sum three battery readings and restore the city hub. Stage 1 - Foundations. Curriculum focus: function inputs, arithmetic, and return values. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: return the computed total from the function instead of printing it. Recommended first pass: Java. Hint: the harness calls your function directly, so return the value instead of only printing it. Architecture: Desert Solar Grid with three-cell power dais around San Antonio Signal Spire, signature 007 Play detail: Power-cell puzzle 3: three visible cells feed one returned total. Language track: Java track emphasizes exact public static signatures, typed arrays, and readable branch blocks. Current concept: function inputs, arithmetic, and return values. Rank 007 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: returning a computed value is the first reliable contract between code and the game world. Predict before coding: predict the returned total for three small inputs before editing. Optional worked example: worked example: 20, 15, and 10 return 45. Code-trace mini-game: trace one visible case before editing. Mistake glossary: printing instead of returning hides the value from the validator. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 3. Visual debugger: three power cells light as inputs combine into one return value so the function contract is visible. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: power-grid apprentice mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for San Antonio. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Southern Evac Line ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 007, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: totalPower(20, 15, 10) must return 45. Hidden tests: smaller city-grid inputs include zeros and variant batch 3.	Terminal mission brief for San Antonio, TX
CodeRescueCampaign	campaign.007.san_antonio_tx.radio_briefing	Radio briefing: San Antonio, TX is stop 007 on the national route. Secure the San Antonio Signal Spire in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.	Radio/subtitle briefing for San Antonio, TX
CodeRescueCampaign	campaign.007.san_antonio_tx.hint	Hint: the harness calls your function directly, so return the value instead of only printing it.	Coding hint for San Antonio, TX
CodeRescueCampaign	campaign.007.san_antonio_tx.visible	Visible test: totalPower(20, 15, 10) must return 45.	Visible test description for San Antonio, TX
CodeRescueCampaign	campaign.007.san_antonio_tx.hidden	Hidden tests: smaller city-grid inputs include zeros and variant batch 3.	Hidden test description for San Antonio, TX
CodeRescueCampaign	campaign.008.san_diego_ca.terminal_title	San Diego: Signal Reversal Drill	Terminal title for San Diego, CA
CodeRescueCampaign	campaign.008.san_diego_ca.mission_brief	"San Diego is receiving reversed radio packets. Write reverseString/reverse_string to restore the message before evacuation can continue. Stage 1 - Foundations. Curriculum focus: string traversal and reversal. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: walk the input from the far end back to the front. Recommended first pass: C. Hint: either use the language's reverse tool or copy characters from the end toward the front. Architecture: Coastal Port with backward radio mast around San Diego Rescue Arch, signature 008 Play detail: Radio rewind mast 4: visual packets run backward from tower to terminal. Language track: C track emphasizes buffer safety, pointer discipline, null terminators, and explicit counts. Current concept: string traversal and reversal. Rank 008 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: reverse traversal teaches indexes, bounds, and careful movement through strings. Predict before coding: predict the first and last output characters before writing the loop. Optional worked example: worked example: rescue becomes eucser by reading from the end. Code-trace mini-game: trace one visible case before editing. Mistake glossary: off-by-one indexes drop the first or last character. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 4. Visual debugger: packet tiles light from right to left as each character moves so off-by-one errors become visible before validation. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: radio-code cleanup specialist mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for San Diego. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Western Corridor ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 008, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: reverseString(""rescue"") must return ""eucser"". Hidden tests: mixed-case signal 4 and a second city packet must reverse exactly."	Terminal mission brief for San Diego, CA
CodeRescueCampaign	campaign.008.san_diego_ca.radio_briefing	Radio briefing: San Diego, CA is stop 008 on the national route. Secure the San Diego Rescue Arch in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.	Radio/subtitle briefing for San Diego, CA
CodeRescueCampaign	campaign.008.san_diego_ca.hint	Hint: either use the language's reverse tool or copy characters from the end toward the front.	Coding hint for San Diego, CA
CodeRescueCampaign	campaign.008.san_diego_ca.visible	"Visible test: reverseString(""rescue"") must return ""eucser""."	Visible test description for San Diego, CA
CodeRescueCampaign	campaign.008.san_diego_ca.hidden	Hidden tests: mixed-case signal 4 and a second city packet must reverse exactly.	Hidden test description for San Diego, CA
CodeRescueCampaign	campaign.009.dallas_tx.terminal_title	Dallas: Emergency Grid Sum	Terminal title for Dallas, TX
CodeRescueCampaign	campaign.009.dallas_tx.mission_brief	Dallas has unstable backup cells. Write totalPower/total_power to sum three battery readings and restore the city hub. Stage 1 - Foundations. Curriculum focus: function inputs, arithmetic, and return values. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: return the computed total from the function instead of printing it. Recommended first pass: Python. Hint: the harness calls your function directly, so return the value instead of only printing it. Architecture: Desert Solar Grid with three-cell power dais around Dallas Data Beacon, signature 009 Play detail: Power-cell puzzle 1: three visible cells feed one returned total. Language track: Python track emphasizes small readable helpers, list operations, and clear loop intent. Current concept: function inputs, arithmetic, and return values. Rank 009 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: returning a computed value is the first reliable contract between code and the game world. Predict before coding: predict the returned total for three small inputs before editing. Optional worked example: worked example: 20, 15, and 10 return 45. Code-trace mini-game: trace one visible case before editing. Mistake glossary: printing instead of returning hides the value from the validator. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 5. Visual debugger: three power cells light as inputs combine into one return value so the function contract is visible. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: power-grid apprentice mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for Dallas. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Southern Evac Line ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 009, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: totalPower(20, 15, 10) must return 45. Hidden tests: smaller city-grid inputs include zeros and variant batch 5.	Terminal mission brief for Dallas, TX
CodeRescueCampaign	campaign.009.dallas_tx.radio_briefing	Radio briefing: Dallas, TX is stop 009 on the national route. Secure the Dallas Data Beacon in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.	Radio/subtitle briefing for Dallas, TX
CodeRescueCampaign	campaign.009.dallas_tx.hint	Hint: the harness calls your function directly, so return the value instead of only printing it.	Coding hint for Dallas, TX
CodeRescueCampaign	campaign.009.dallas_tx.visible	Visible test: totalPower(20, 15, 10) must return 45.	Visible test description for Dallas, TX
CodeRescueCampaign	campaign.009.dallas_tx.hidden	Hidden tests: smaller city-grid inputs include zeros and variant batch 5.	Hidden test description for Dallas, TX
CodeRescueCampaign	campaign.010.jacksonville_fl.terminal_title	Jacksonville: Access Gate Boolean Logic	Terminal title for Jacksonville, FL
