area	check	pass_signal
IKFootGroundingReview	Inspect the DCC FOOT IK station and runtime tags on player, survivor, friendly NPC, companion, zombie, and boss skeletal actors	Every full-body skeletal path carries FootGroundingRuntimeContract, FootIKGroundingReview, ControlRigFootContactReady, FootPlantTraceReady, and PelvisOffsetReview tags, while first-person arms carry FootGroundingExcluded_FirstPersonArms.
MayaCharacterCleanup	Walk the DCC cleanup bay and inspect bind pose, skeleton names, sockets, animation takes, LOD/material, physics asset, FBX export, and promotion stations; then inspect live skeletal actors for cleanup tags	Every promoted character path has clear Maya cleanup evidence before replacing fallback meshes, sockets, AnimBPs, physics assets, or montage-ready clips.
EliteWardenMiniBosses	Solve a city terminal, approach the warden runway, then fight charger, spitter, and boomer mini-boss sentinels	The runway changes from dormant to active after terminal intel, each mini-boss role is readable, neutralized sentinels persist across reload, and the boss reveal/phase telegraphs remain intact.
Squad Personality	Use Mira/Tomas/Ada/Noor/Briggs as medic, engineer, rifle support, scout, and heavy rescue around combat	Named role labels, barks, pips, order responses, and tactical behaviors feel distinct.
CompanionGestureReadability	Use Y/U/O/N with the rescue squad, let a companion fire at a nearby zombie, trigger medic support, and take companion damage in a selected-language run	role signal light, idle follow/hold pose, support-fire recoil, medic pulse, order acknowledgment, and damage flinch are visible without companion capsules blocking the player or altering the language save.
Curriculum UX	Submit practice, correct, and incorrect answers across lesson families	Feedback names failed checks, points to a next repair step, practice runs state no save advance, successful live solves show concept proof, language transfer, save continuity, and survivor-route follow-up plus reward choice kiosk availability, the journal survivor dossier updates after terminal solve and rescue, and the survivor rescue subtitle names route, language, helipad, save, and dossier state.
CityRadioBarkCadence	Start a fresh city and inspect the queued radio briefing before and after HUD startup; then test terminal locked, survivor route open, and extraction beacon live states	Radio Relay subtitle names language, terminal, survivor, landmark, current phase, and next step while respecting subtitle toggle/scale/high-contrast settings.
ReactiveThreatAudioMusic	Approach calm street, one zombie, close pursuit, critical range, and protected safehouse boundary	Music intensity summary/captions shift calm/watch/pursuit/critical and damp inside protected learning space while SFX/music volume settings remain respected.
CityAmbientZoneAudio	Walk entry, protected coding lab, safehouse exterior, street grid, survivor route, survivor camp, and extraction pad before and after terminal/rescue progress	[Ambient] captions and audio summaries name the active zone and future bed key while selected-language save/resume behavior remains unchanged.
VisualizedSoundCues	Toggle Visualize Sound Cues in Settings, then walk calm street, close pursuit, protected coding lab, survivor route, and extraction pad with subtitles on and off	HUD SOUND CUES line appears only when enabled and names threat intensity, ambient zone, and caption state without disturbing selected-language save/resume behavior.
MonoAudioAccessibility	Toggle Mono Audio in Settings, confirm Visualize Sound Cues stays enabled, fire/dry-fire/hit targets, approach zombie attacks/growls, rescue a survivor, and pass through active ambient city zones	Audio mix summary shows Mono on, project-owned positional cues remain centered/playable, active ambient and growl components refresh without restart, and selected-language saves restore the mono setting.
UITextScaleSettings	Set Subtitle Size to 0.75x and UI Text Size to 1.75x, apply, save, restart/resume a language run, then invert the two values and inspect subtitles, HUD, terminal, journal, minimap, save slots, fast travel, pause, tutorial, damage feedback, victory, and death screens	UI surfaces follow UI Text Size, active captions follow Subtitle Size, both values persist independently, and reset defaults returns both to 1.0x without changing audio mix.
CaseFileCollectibles	Collect terminal evidence, survivor note, and route brief in one city	Each case file shows a CASE FILE subtitle, the journal case-file summary updates, and relaunch keeps collected files hidden in the selected-language run.
EnvironmentalStorytelling	Walk the environmental story deck before and after a terminal solve, inspect automation failure, safehouse engineer network, survivor stake, code cause/effect, and city chapter cards	The story deck is readable and nonblocking, explains why coding rescues people, and does not alter selected-language save, protected safehouse, combat, terminal, or extraction behavior.
WorldBibleLore	Walk the field world-bible deck and inspect premise, pillars, factions/forces, technology rules, and per-city lore cards	The lore deck is readable and nonblocking, keeps the canonical premise coherent, and does not alter selected-language save, protected safehouse, combat, terminal, or extraction behavior.
RadioScanRescueBeacon	Inspect objective beacon before terminal solve, after solve, after rescue, and with Reduced Motion enabled	RADIO SCAN, SURVIVOR PING, and RESCUE BEACON labels update in-world, the extraction halo appears after rescue, and reduced motion still shows text-first phase changes.
ExpandedExtractionSetPieces	Inspect several city indices at the helipad and open the fast-travel menu after rescue	Rooftop, convoy, boat, rail, bridge, or helipad-command staging is visible, labeled, nonblocking, and does not interfere with the fast-travel menu.
SequencerIntroBossReveal	Walk the cinematic street route and inspect intro, language, terminal, survivor, extraction, and boss reveal camera markers	Each beat has a visible camera rail/tripod/lens or fallback reveal marker, remains nonblocking, respects reduced-motion fallback intent, and gives future Sequencer/Control Rig assets a clear replacement target.
TacticalGearPickups	Collect scanner, flashlight, ammo pouch, bypass kit, medkit, and armor pickups; use L flashlight, Z scanner, and Ctrl+B bypass kit inside a terminal in the selected language run	HUD counts update, pickups autosave into the selected language save slot, the flashlight emits light, scanner spends a charge, and terminal bypass opens the survivor route while preserving the selected language.
WeaponQuickSlotArmory	Inspect the tactical armory, press each 1-0 quick slots key, fire or reload at least two weapons, save, relaunch, and resume the same selected-language profile	HUD QUICK SLOTS row matches the armory board, active weapon marker updates for every key, and active slot plus magazine/reserve values persist after save/resume.
DistinctWeaponPresentation	Cycle all weapon slots in first-person, fire ammo weapons, reload partial magazines, and trigger the no-ammo melee fallback	Each weapon family shows a distinct stance, silhouette, recoil, reload, and melee fallback while the HUD text remains readable.
CombatJuiceWeaponFeel	Fire multiple weapon families; confirm a body hit, headshot, barricade hit, area hit, reload, dry fire, melee fallback, and incoming damage	Camera/weapon feedback should show body hit, headshot, barricade hit, area hit, reload, dry fire, melee fallback, and incoming damage without disrupting HUD readability or reduced-motion comfort.
InteriorMissionSpaces	Walk to hospital, school, store, transit, and civic records rooms; enter each open-front room and collect its functional pickup	Player can enter each room without snagging on the doorway, read the mission board, and see the pickup affect the selected-language run.
WeatherLightingIdentity	Walk through the entry weather shelter, safehouse light pool, and rescue route sky cue in at least two city climate families	Text-first climate labels, ground reflections, weather streaks, and signal lights are visible, nonblocking, and distinct from objective markers.
RegionalCityKits	Walk through the regional kit entry gate, landmark vista kit, and objective district kit in at least three city art-kit families	Kit bible labels, landmark vista, modular swatches, regional motif, and signal lights are visible, nonblocking, and tied to the city art kit, region, district, and landmark.
StealthAvoidance	Walk near zombies quietly with cover, then sprint, fire, use scanner, toggle flashlight, throw utility gear, and enter a protected coding space	HUD moves between QUIET, LOW NOISE, AUDIBLE, NOISY, and EXPOSED; zombies investigate noise or chase sightlines; protected coding space still suppresses detection and selected-language saves remain unchanged.
RuntimeDataLayerMigration	Walk the World Partition review station and inspect the streaming cell, safehouse mode, combat mode, objective state, and weather/time cards; then solve the terminal and inspect the rescue route	Runtime Data Layer station is readable and nonblocking, actor tags cover safehouse/combat/weather/objective states, and solving a terminal opens route cues without changing selected-language save/resume behavior.
HoudiniModularCityOutput	Walk the Houdini/PCG review bay and inspect recipe board, facade kit, safehouse cell, rubble variants, collision proxy, streaming cell, and route spline knots	Generated-output targets are visible, deterministic, nonblocking, and clearly gated for world promotion, collision, Mac budget, and package-smoke review before replacing the current city fallback.
ChallengeRoomConceptArt	Walk the variables lab, loop control room, array index hall, function relay room, debugger test bay, and curriculum-first review gallery before solving the terminal	Player can read each concept room, match the selected lesson to the artifact, inspect all eight validator archetypes with visible test, hidden test, mistake marker, mentor proxy, and survivor proxy, and return to the safe terminal without combat or traversal interference.
CurriculumFirstReviewGalleryRender	Open Saved/VisualReview/curriculum_first_review_gallery_render.png after running Scripts/render_curriculum_first_review_gallery.py	Render is nonblank, structures and character proxies are visible, labels are readable enough for owner review, and the layout matches the runtime gallery manifest.
InventoryMapJournalPolish	Open J during fresh, solved-terminal, and rescued-survivor states; then repeat after start-screen resume	Journal shows language save, route map, field inventory, survivor intel dossier, SURVIVOR INTEL ARCHIVE, LAST LEARNING DEBRIEF, CHALLENGE REPLAY BRIEF, LANGUAGE PROFILE RECAP, FAIL-SAFE OBJECTIVE BOARD, and city progress without hiding the selected-language run state.
LanguageProfileRecap	Solve one terminal, rescue one survivor, spend or earn Research Points, save/quit, and resume from the same language on the start screen	LANGUAGE PROFILE RECAP shows selected-language mastery, difficulty, profile stats, run stats, stage recap, review recommendation, save-slot preview, and start-screen Resume continuity before and after resume.
ChallengeReplayJournal	Solve one terminal cleanly, solve or bypass another route with Ctrl+B, close each terminal, open J, save/quit, and resume from the same language on the start screen	CHALLENGE REPLAY BRIEF names the saved language, challenge, concept, score, clean/assisted replay status, visible goal, hidden-test replay note, practice action, save slot, and start-screen Resume continuity.
ObjectiveRouteToasts	Solve a terminal, rescue the survivor, trigger extraction readiness, and save/checkpoint in a selected-language run	HUD route toasts show Terminal solved, Survivor route open, Extraction ready, Language save refreshed, and CHECKPOINT SAVED start-screen resume cues without replaying old save state on resume.
FieldChecklistHUD	Start a selected-language run from the language screen, inspect HUD before terminal solve, after terminal solve, after survivor rescue, and after save/resume	FIRST TEN MINUTES FIELD CHECKLIST names the active track-only save, protected terminal -> survivor marker -> extraction route, current phase, E/Ctrl+P/T/Backspace/F8/J/P/Esc recovery keys, and start-screen Resume state without overlapping minimap/navigation.
Release Package	Run package null/render smoke, external demo preflight, release manifest, visual manifest, Mac TAA renderer profile, Mac Nanite/SM6 feature gate, Mac asset import budget gate, Mac compatibility validation, editor Data Validation contract, character promotion validation, physics promotion validation, world promotion validation, support bundle, and signing credential boundary review	Artifacts are generated and logs contain only allowed warnings, with TSR excluded from the packaged Apple Silicon baseline, Nanite/VSM content held behind fallback review, imported LOD/texture/shader-heavy content blocked until budget review passes, promoted asset manifests, zombie variant rows, physics asset and debris retirement gates, city-module/PCG/streaming gates, groom/Nanite/shader Mac fallback gates covered by native editor validators, and Gatekeeper/notarization correctly marked credential-bound.
